msec,Experiment,Exper,µVpostEEMD1Ozsqua,µVpostEEMD2Ozsqua,µVpostEEMD3Ozsqua,µVpostEEMD4Ozsqua,µVpostEEMD5Ozsqua,µVpostEEMD6Ozsqua,µVpostEEMD7Ozsqua,µVpostEEMD1combinexpOzSquareMask,µVpostEEMD2combinexpOzSquareMask,µVpostEEMD3combinexpOzSquareMask,µVpostEEMD4combinexpOzSquareMask,µVpostEEMD5combinexpOzSquareMask,µVpostEEMD6combinexpOzSquareMask,µVpostEEMD7combinexpOzSquareMask,µVpostEEMD1combinexpOzSquarePseudo,µVpostEEMD2combinexpOzSquarePseudo,µVpostEEMD3combinexpOzSquarePseudo,µVpostEEMD4combinexpOzSquarePseudo,µVpostEEMD5combinexpOzSquarePseudo,µVpostEEMD6combinexpOzSquarePseudo,µVpostEEMD7combinexpOzSquarePseudo,µVpostEEMD1Ozdiamo,µVpostEEMD2Ozdiamo,µVpostEEMD3Ozdiamo,µVpostEEMD4Ozdiamo,µVpostEEMD5Ozdiamo,µVpostEEMD6Ozdiamo,µVpostEEMD7Ozdiamo,µVpostEEMD1combinexpOzDiamondMask,µVpostEEMD2combinexpOzDiamondMask,µVpostEEMD3combinexpOzDiamondMask,µVpostEEMD4combinexpOzDiamondMask,µVpostEEMD5combinexpOzDiamondMask,µVpostEEMD6combinexpOzDiamondMask,µVpostEEMD7combinexpOzDiamondMask,µVpostEEMD1combinexpOzDiamondPseudo,µVpostEEMD2combinexpOzDiamondPseudo,µVpostEEMD3combinexpOzDiamondPseudo,µVpostEEMD4combinexpOzDiamondPseudo,µVpostEEMD5combinexpOzDiamondPseudo,µVpostEEMD6combinexpOzDiamondPseudo,µVpostEEMD7combinexpOzDiamondPseudo,µVpostEEMD1OzMask,µVpostEEMD2OzMask,µVpostEEMD3OzMask,µVpostEEMD4OzMask,µVpostEEMD5OzMask,µVpostEEMD6OzMask,µVpostEEMD7OzMask,µVpostEEMD1OzPseudomask,µVpostEEMD2OzPseudomask,µVpostEEMD3OzPseudomask,µVpostEEMD4OzPseudomask,µVpostEEMD5OzPseudomask,µVpostEEMD6OzPseudomask,µVpostEEMD7OzPseudomask
50,Experiment I,1,96.87720889,23.96355245,33.3727829,47.6353439,87.56357929,116.468492,343.6851583,38.45450056,16.79519227,50.12831434,372.5874307,1075.872681,1328.682249,45.38791204,93.72355711,35.57625153,22.30144159,33.39403217,107.9846336,189.0944934,80.94124775,42.41581709,49.83249235,40.8678294,30.83524427,163.8983394,143.3911065,358.4532919,96.62909825,25.57478336,25.5136273,16.30151931,97.70972405,114.0992391,117.5776113,88.20841,25.79685,13.25433,25.10383,1.619661,41.43049,57.39473,88.070486940374,57.3731020771457,21.236650673735,27.2221282057333,67.4748968312713,135.182997507942,83.8087162131374,139.483933219266,31.0309949581103,38.6803733551654,31.4026578299102,7.71474535052688,97.3929100267441,88.6164432898788
55,Experiment I,1,77.80808953,24.49977812,41.41774042,36.69858773,84.29921346,108.9838361,277.6816323,96.66977123,28.36095767,46.69216538,394.4126864,1070.29607,1386.360112,45.38791204,19.76697323,28.04508112,17.94389306,27.43095172,119.977727,193.0454111,80.94124775,32.7240043,56.98565062,40.58346474,34.84388317,155.3645843,131.963989,294.6989078,111.4829662,22.81555817,41.01936072,15.3683013,94.60809745,114.0143076,108.7183,128.2868,24.30221,13.88683,24.89639,2.088907,41.77629,53.129,46.8555498728798,31.4436741329999,22.3038342905244,24.9129441605992,60.4120220039633,127.631854237373,52.3681390083232,162.404085167627,36.1594381570651,37.857177572634,32.3719156158569,6.54504285946112,95.4365050024594,88.7215032229892
60,Experiment I,1,69.5975432,23.16140459,48.4265175,33.80054005,84.25715239,106.8641011,304.9689013,54.88299575,14.32166672,46.56684541,370.5234652,1114.952454,1366.864592,45.38791204,96.86548163,29.07787269,16.1879948,24.78434875,117.1183278,178.541637,80.94124775,18.6646247,51.54643117,39.49749981,34.78560433,153.9813595,129.9128336,312.1963045,44.37716699,4.372109638,46.79297934,15.33637447,93.35845853,115.2303932,108.0593341,135.3588,12.76872,18.22256,26.19951,2.493813,41.67629,52.50121,85.5107877225698,17.615495322918,19.0078666151892,28.0006171797289,59.1578554157118,125.105067273518,69.4987199408141,97.3182135008562,35.3704417865655,39.4102080091106,35.1742373659572,6.22860721154661,96.0095772323005,88.7657463317301
65,Experiment I,1,106.1155229,25.39651584,54.56997848,24.36361875,80.77145722,100.7079499,251.3067236,145.4504629,7.649743,40.63991153,386.0450771,1112.85345,1413.356263,45.38791204,17.74021329,28.85109328,14.52142755,19.96836703,133.0793157,195.592441,80.94124775,16.53246154,43.65175736,39.32253636,38.53794982,147.8001645,120.5428902,261.6673378,82.89714358,27.25085748,51.55478492,13.95943952,90.96305303,115.5896449,100.9063644,117.1823,5.665987,21.33241,25.52049,3.024574,42.10487,49.05489,55.6129042216411,50.8582298753924,17.5470562260575,26.1334104710027,53.2764703498548,118.786930187503,43.9037751354579,106.87542838638,21.6557411525322,35.3796481552082,36.0197508149004,6.34212192843347,94.4891126156356,88.8385444860232
70,Experiment I,1,85.13854328,34.45870024,59.1177647,21.78044888,79.98355769,99.00189932,276.2180695,61.36241811,22.82284237,36.3971323,363.0655088,1151.407417,1396.643419,45.38791204,93.66819209,35.13484938,13.49955584,17.53138967,131.8037696,178.0247821,80.94124775,28.7072078,51.5850359,39.33552772,38.6940578,146.8134784,118.9912351,275.529969,54.9613953,17.8944933,43.49931322,13.06144686,90.07593379,116.4999781,100.211914,92.94102,10.30073,24.5502,26.00437,3.492972,42.03479,48.4316,65.9037411077294,49.8117914571702,13.1782767446857,28.8037186916746,52.204815877522,116.636666776612,59.2601618809731,8.46854632125747,7.66375313158462,34.4631470449515,38.4719195491108,6.27491723480151,94.9403040049183,88.8649173006082
75,Experiment I,1,78.48552182,44.59075869,62.94494756,13.80413772,76.20047053,93.75186163,231.3177198,18.31201041,42.21455181,27.83436982,373.9517318,1151.443364,1435.023652,45.38791204,20.93061722,39.76823876,15.08714356,13.50714321,148.5660425,201.74876,80.94124775,58.8743786,69.16167023,41.00659059,41.60033806,142.3623543,111.0989613,235.0606525,88.93973454,2.892493461,34.40252526,11.10873402,88.15932759,117.12574,94.31082709,74.76908,13.0917,27.78244,25.25043,4.078834,42.52321,45.59276,50.0864664054833,14.8868591747419,9.783975704395,26.8045119399721,47.0807386406819,111.224729477979,37.8815421613006,101.166648518374,13.1400153701769,29.3933524858762,38.9311154100854,7.23706811070567,93.7283463154465,88.9090399342017
80,Experiment I,1,99.38882398,53.18129085,65.17487155,12.36594465,74.70455374,92.29286059,254.1785802,60.64487359,37.82634242,22.44300203,351.5089737,1185.085001,1420.573776,45.38791204,59.93976939,35.7209185,15.38215098,11.05011257,148.3100017,183.0716554,80.94124775,74.33995226,81.70212566,43.4102377,41.88125951,141.6300321,109.8773,245.6945268,169.5123107,20.66308956,20.36991359,9.361043537,87.49335671,117.7837144,93.58444242,46.45962,5.320634,28.22648,25.15556,4.600467,42.48365,44.97242,33.2285140363656,24.3114403556294,7.93828627854988,28.5274600295329,46.0426469994558,109.351561340952,51.7371839367752,134.462476565457,23.9853645100503,25.5840765866622,40.8051393778721,7.3443748049857,94.0881968115326,88.9174329608399
85,Experiment I,1,83.71878502,61.18827215,66.643183,7.503119303,70.62348026,87.67654943,215.7366293,130.8147149,48.80903333,15.80221977,358.6158444,1186.476304,1452.800956,45.38791204,32.93366072,37.98312429,18.53455227,7.769304207,164.6572838,209.6914901,80.94124775,112.8021052,81.62625882,46.90819898,43.72661715,138.4963521,103.0828197,213.3097442,150.5696145,44.90072182,12.89814412,7.293613236,85.88306868,118.5713561,88.64216016,119.9134,8.143445,29.74405,24.70192,5.240264,43.01859,42.60439,47.9308774953158,42.7640459709594,5.67089185429946,26.0276361727663,41.4144318441799,104.635472822989,33.6029109635524,145.400485383091,27.3220112469984,20.6631538185301,40.5324179085058,8.64137073689276,93.105528251077,88.9353632726048
90,Experiment I,1,98.21062975,70.32911544,65.78864941,10.01511071,68.46590008,86.35566822,236.7899439,72.23660108,44.36700177,14.50082757,336.3901775,1216.068742,1440.225877,45.38791204,112.8048553,35.99461303,20.01679451,5.260114795,165.1082814,191.0365282,80.94124775,135.8877791,68.68203879,50.83295753,43.98244711,137.9373363,102.077218,221.0121389,100.166346,48.80679472,13.75873169,5.520554936,85.33124683,119.0170953,87.8870339,147.6863,7.680385,28.15077,24.41117,5.815802,43.00843,41.98624,13.3240243080842,43.5052263894076,6.94125352392743,26.5913350068685,40.3252040015784,102.970380738117,46.1320556318027,23.9155589010051,29.9852251233636,15.2305066959711,41.4360506118109,8.84938410896115,93.3948306427649,88.9258093630973
95,Experiment I,1,131.5956503,79.81220971,62.97629244,11.92828835,64.12370263,82.19181259,203.2420195,60.66220917,38.11796656,14.06005374,340.337133,1218.336573,1467.620667,45.38791204,69.29511939,31.39978458,22.7418197,4.109002241,180.6586175,218.4675766,80.94124775,94.46591936,64.03832727,54.58365528,44.60841188,135.8381495,96.12890296,195.4048369,59.86312724,45.91021509,24.67040106,4.94598261,83.90719963,119.9018441,83.70352567,121.1364,14.21237,27.35728,24.80562,6.512896,43.58116,39.99578,41.1447791350968,28.9085015477365,7.68023055668193,23.8952983926194,36.0361355606566,98.8027938419228,30.6584490104215,148.903312110341,26.3340574669126,14.3622318186778,40.318905998648,10.2153089554422,92.5889869624818,88.9193877804954
100,Experiment I,1,112.7407302,90.17955924,57.46050499,16.76859881,61.35106446,80.93892626,222.6764661,24.39414018,58.26040426,17.80637047,318.1706364,1244.529086,1456.620909,45.38791204,117.51808,31.37443266,24.57296259,3.981418236,181.646229,200.4401373,80.94124775,64.35092667,77.77581701,57.82459832,44.66988796,135.4053993,95.26582688,200.416042,38.95297306,48.79077283,31.29488599,5.411343765,83.39561179,120.1667318,82.92261931,70.96154,14.40216,26.29284,24.78494,7.143176,43.59838,39.37964,38.9197553424842,6.25540009029924,9.34055640003826,23.3430286086944,34.8609460833724,97.2945336944601,41.9589666338052,31.5320079437545,22.4738709355951,13.1443384015478,40.3199463918188,10.4860180535891,92.82247456429,88.8920143855287
105,Experiment I,1,132.6627055,102.0569625,49.99706175,21.04097259,56.79889761,77.10734828,192.9190341,50.57142776,77.5701942,19.75051273,319.4619263,1247.366983,1480.114542,45.38791204,53.38633616,25.22978923,25.80316592,7.287121305,196.3401168,227.5822392,80.94124775,47.73152438,88.26279324,59.18684321,44.22345398,134.1247841,89.99246599,180.6710636,30.48318354,57.81493712,38.0007952,7.670238538,82.07221361,121.1067271,79.3552199,113.9006,15.80117,25.33251,26.0965,7.895153,44.20242,37.70027,27.7213864573732,13.505264162746,11.9494240783399,20.6906780064125,30.833483821151,93.56934684528,28.8013542683206,136.78341753276,24.2435139957458,14.9066758394506,38.6336062179514,11.8195346816077,92.1569692305198,88.8626802942424
110,Experiment I,1,127.6252433,112.9366093,40.22537723,26.7836967,53.4485658,75.88215974,210.8841576,31.54016186,73.76386448,22.80560207,297.3118991,1270.662887,1470.453034,45.38791204,74.04086431,18.75518158,26.76172734,9.648240212,197.7706038,210.4845222,80.94124775,50.61003187,81.90590551,60.06824996,44.36808487,133.7580969,89.22041566,183.206236,53.18471994,75.85855983,39.23531705,10.06926961,81.54631811,121.2154973,78.55134577,134.4389,23.44106,25.36883,27.03572,8.578388,44.24447,37.08641,60.8037205477281,22.3407329671143,13.3109929935023,19.2743715503402,29.6114648214928,92.1826520152404,38.9166485125708,121.936495128836,35.4324709396412,16.9163698833454,37.9169373958096,12.1371348428149,92.3454270783806,88.8176787374336
115,Experiment I,1,139.0728278,123.447306,29.2966162,31.57915433,48.73912445,72.31007648,184.1164733,44.47173394,80.19745619,23.609636,296.4250093,1273.869249,1490.726296,45.38791204,106.859033,19.35731973,25.68208735,13.3893228,211.6661775,236.7821322,80.94124775,58.08664081,69.99660279,61.34133064,43.4126365,133.0955983,84.49633381,168.6382437,69.04472516,86.16098338,41.45619771,12.99317545,80.25840322,122.1816371,75.49464384,103.4144,33.6989,23.07154,29.32838,9.382835,44.87449,35.66902,20.1126518118511,23.3144508337351,16.2651876503516,17.2412739426079,25.8915415681683,88.8268485375486,27.8741538358229,84.4648258781963,53.2385989438217,17.6462557789251,36.0034073812582,13.4035102699725,91.7938803152099,88.7666071262453
120,Experiment I,1,256.8867918,131.7248077,21.37070677,37.70471525,44.82613771,71.10595614,200.7320442,79.4227802,76.18370016,25.70335146,274.4075757,1294.670369,1482.211593,45.38791204,204.1403685,19.19032909,25.62767575,16.48638896,213.4866406,220.748062,80.94124775,71.83499791,57.88722462,64.16737872,43.82706737,132.7283469,83.77246651,168.9041107,105.1270544,79.51098418,39.16390035,15.91201197,79.67327913,122.1533754,74.6705207,78.56798,44.83302,21.38992,31.16603,10.11788,44.93871,35.05806,34.8591746936007,22.2737595759987,17.2745009364798,15.4667296786246,24.7676841231084,87.5412068875013,36.8159986272341,49.9495405845629,66.5683903276879,19.5983326224001,34.9197713557725,13.7607046695312,91.9454225208539,88.7042122890141
125,Experiment I,1,186.7620065,138.3858774,21.86099771,41.90738711,40.01464258,67.77030498,176.3610091,130.0592329,75.37986592,26.62716957,271.9868207,1298.115878,1499.778033,45.38791204,101.3030973,18.16297809,23.84162644,20.28667186,226.6786853,245.9410419,80.94124775,125.4639553,52.31605673,66.52248851,42.71138801,132.5260092,79.50685935,158.9554846,142.8439878,72.26961416,38.0091475,18.81161468,78.36570858,123.1250132,72.04432267,50.15665,55.15546,19.8248,33.40745,10.97035,45.59088,33.86521,47.190858308497,20.1705368767901,19.6621427326996,14.1871831325138,21.4299879727891,84.5033915173062,27.7592575293756,67.3949198778929,65.7390081581344,18.4687362197246,33.325668364177,14.9493972972933,91.4881514216139,88.6323957100417
130,Experiment I,1,173.5297233,151.4045847,29.77017192,47.80642062,35.56110519,66.61784824,191.7207411,92.86181422,80.85404335,29.63273114,250.610423,1316.760036,1492.255087,45.38791204,147.9083942,20.76167012,23.13908043,23.96935621,228.8579716,231.0128587,80.94124775,120.9769256,51.06813144,67.7376407,43.21763256,132.1123747,78.80241938,157.167818,122.9393806,76.01769209,33.40157629,21.77444086,77.67807583,122.9756366,71.2026141,58.99348,55.87117,18.19923,35.38753,11.74945,45.6762,33.25808,45.1750277059311,16.1920543501609,21.9596939273166,12.359608966523,20.509875469282,83.3052553478183,35.5332205531321,27.091294599508,60.6336167371353,18.9354257736444,32.2752288484582,15.34311040356,91.6090298888809,88.5528723091039
135,Experiment I,1,314.758719,166.9747048,39.22190011,50.86846157,30.85919249,63.51901873,169.2992481,73.3557913,74.23889517,31.56989228,247.4688981,1320.368757,1507.514919,45.38791204,203.2011722,15.24624451,21.54065726,28.00693421,241.4457155,255.0001535,80.94124775,65.36465743,46.05116837,69.65969512,41.88001783,132.2483265,74.93462436,151.3461728,55.30936224,80.63179604,29.52008206,24.31587806,76.29257602,123.9380908,68.94438357,77.33359,51.77325,17.94584,37.16654,12.62937,46.34835,32.26048,27.8909410341275,15.8453703117858,24.2191494453807,11.931373443131,17.602572090117,80.5445124058557,28.3532034424734,55.5213667808693,62.673202951038,16.8682399759301,31.3908900705674,16.4526641229151,91.2309628805357,88.4611725229883
140,Experiment I,1,246.9660324,172.875148,47.99310521,55.79112212,26.31207341,62.42879963,183.4739374,129.5446775,78.82296521,34.92044746,227.0322885,1337.139885,1500.856349,45.38791204,154.6810781,9.236604125,19.47030188,32.40516246,243.963744,241.1709239,80.94124775,47.74387563,31.07391062,72.42291328,42.10791509,131.7568928,74.2313135,147.7418135,105.4184533,84.05648803,24.95413658,26.76007767,75.44728354,123.6811667,68.08772478,93.55636,54.66117,17.77798,38.82661,13.41801,46.45389,31.65835,51.1403712936568,23.0068839751588,28.4440481107762,10.5388397108986,16.991585325283,79.4184037240442,34.9784840489424,92.7507658118264,72.0086637370091,15.9311208881836,30.6322788751465,16.8777033260325,91.326099090498,88.3648056912439
145,Experiment I,1,203.5914288,165.9552301,55.19624603,56.86108954,22.55969471,59.54132961,162.6620724,157.0965794,74.41064139,36.45188426,223.6260328,1340.862836,1514.125498,45.38791204,82.63618993,13.47404404,17.9206387,36.6964269,256.037888,263.9364626,80.94124775,43.96925695,19.00331445,74.73103519,40.72142735,132.1362103,70.72334042,145.579429,131.3647698,78.78157379,21.68458861,28.3694307,73.93037762,124.6237567,66.1476401,116.5663,54.962,18.7871,39.37932,14.28584,47.14394,30.8325,93.3907440568449,30.9673086543593,32.0261888210268,10.8976944587785,14.5897525830642,76.8961478592859,29.5535498003698,104.792080949625,82.0756915754467,15.3932242706796,30.5786765312662,17.9058445185766,91.0154448581522,88.2539876108785
150,Experiment I,1,150.0427645,150.5287298,58.90208956,59.61736332,18.94887869,58.50669807,175.7073399,145.0912828,73.69944324,37.83449182,204.4773812,1355.99803,1508.223028,45.38791204,140.9011579,27.26027251,15.57586532,41.448365,258.8788613,251.1736007,80.94124775,28.50803717,19.91262035,75.45602115,40.45180794,131.5462652,70.01337711,140.4208757,91.65859657,69.97136931,23.80181803,29.95988437,72.90048755,124.2709887,65.27865612,117.112,48.73206,21.04309,39.66262,15.06271,47.26883,30.23678,77.2023833661737,36.718317222581,36.7738306969855,9.91872272901375,14.4108611247808,75.8249429662322,35.0750566522372,75.8318088603937,92.1926846116135,15.6263071355156,30.1673700054643,18.3575246553881,91.0887910841597,88.1410763624077
155,Experiment I,1,83.68351261,132.0987153,57.56656317,58.75341309,17.41049217,55.80582139,156.2517549,103.7117565,75.55822252,35.55779159,201.5392165,1359.802677,1519.755145,45.38791204,194.9888169,35.3577295,14.5243526,45.49653549,270.5156164,272.7457967,80.94124775,37.8362407,21.14567508,76.38562656,39.05946468,132.091845,66.84938016,141.451823,64.82883438,68.57825642,27.89027679,30.78363365,71.23426498,125.1857467,63.61626971,95.72604,43.23625,22.27081,38.82281,15.91355,47.97489,29.56335,60.8595151435277,38.6260286357779,40.4658838957775,10.8358033658098,12.6216253751895,73.5076643842851,31.2607361285355,88.2941099267666,99.2797658499264,20.0218202787362,30.7849539177576,19.3067689808284,90.8361582410994,88.0118312002286
